"filename", "language", "JavaScript", "YAML", "Markdown", "JSON", "HTML", "TypeScript", "JSON with Comments", "Properties", "Docker", "TypeScript JSX", "PostCSS", "MS SQL", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\chat.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\developerOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\inspections.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\marketLocations.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\profiles.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\stats.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\upload.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\routes\userChat.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\server.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 3, 17, 105
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\AccessCodeService.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\AppSessionService.ts", "TypeScript", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 4, 26, 170
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\AuditLogService.ts", "TypeScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 36, 207
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\AuthService.ts", "TypeScript", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 1, 51, 283
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\DeveloperOptionsService.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 24, 110
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\InspectionService.ts", "TypeScript", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 41, 194
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\MarketLocationService.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 14, 64
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\PasskeyCeremonyStore.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\PasskeyService.ts", "TypeScript", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 48, 314
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\ProfileService.ts", "TypeScript", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 2, 54, 331
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\SessionLimitService.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 19, 21, 124
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\StatsService.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 12, 63
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\StorageService.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 19, 16, 113
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\services\UserChatService.ts", "TypeScript", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 39, 218
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\types\inspection.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
